,id,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state
320548,7038386744,Salt Lake City,1142,apartment,817,1,1.0,0,0,1,0,0,0,Unknown,Unknown,40.5541,-111.954,UT
71907,7045280451,Augusta,959,apartment,1000,2,2.0,1,1,1,0,0,0,w/d hookups,Unknown,33.4762,-82.0726,GA
203424,7043538098,South Jersey,1475,condo,1200,2,1.5,1,0,0,0,0,0,w/d in unit,off-street parking,39.7473,-75.0899,NJ
141361,7037927968,South Coast,1542,apartment,1180,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,41.7338,-71.1274,MA
279181,7040780384,Memphis,1049,apartment,1350,2,2.0,1,1,1,1,0,0,w/d in unit,Unknown,35.1421,-89.9446,TN
333790,7035954797,Kennewick-Pasco-Richland,2700,apartment,1010,2,2.0,1,1,0,1,0,1,w/d in unit,off-street parking,46.3257,-119.307,WA
314515,7040739452,Wichita Falls,785,apartment,650,1,1.0,1,1,0,0,0,0,laundry on site,Unknown,33.9675,-98.6868,TX
247652,7049957221,Salem,1040,apartment,1000,2,1.5,1,1,1,0,0,0,laundry on site,carport,44.9217,-122.984,OR
208104,7045283586,Albany,1470,apartment,1087,2,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,42.7376,-73.6908,NY
82148,7038005337,Hawaii,2400,apartment,1100,2,2.0,0,0,0,0,0,1,laundry in bldg,carport,21.2796,-157.82299999999998,HI
120331,7048648425,Lexington,729,apartment,704,1,1.0,1,1,1,0,0,0,w/d in unit,Unknown,37.9954,-84.5498,KY
240779,7032640588,Tulsa,750,house,1000,3,1.0,0,0,1,0,0,0,w/d in unit,attached garage,36.2383,-95.9931,OK
23541,7042666729,Fort Collins / North Co,1470,apartment,950,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,40.5513,-105.098,CO
226664,7035721263,Cleveland,925,house,1300,3,1.5,1,1,1,0,0,0,w/d hookups,detached garage,41.6025,-81.5258,OH
58571,7041588492,Space Coast,1200,house,1000,2,1.0,1,1,1,0,0,0,w/d hookups,attached garage,27.9694,-80.6473,FL
307086,7036750194,Waco,1159,apartment,966,2,2.0,1,1,0,0,0,0,w/d in unit,carport,31.5171,-97.1198,TX
166027,7016224636,St Cloud,1150,apartment,1140,2,2.0,1,1,1,0,0,0,Unknown,Unknown,45.6043,-94.2177,MN
279031,7040120955,Memphis,699,apartment,986,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,35.0639,-89.8461,TN
190639,7031347411,Wilmington,1169,apartment,934,2,2.0,1,1,1,0,0,0,w/d in unit,no parking,34.1572,-77.9141,NC
328732,7051107595,Richmond,1463,apartment,1153,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,37.6861,-77.5361,VA
222293,7033387944,North Dakota,510,apartment,300,1,1.0,0,0,1,0,0,1,laundry in bldg,off-street parking,48.2602,-101.29700000000001,ND
95471,7049792895,"St Louis, Mo",1430,apartment,1055,2,2.0,1,1,1,0,0,0,w/d in unit,carport,38.6577,-90.5531,IL
232628,7023230133,Lima / Findlay,1200,cottage/cabin,1000,2,1.0,0,0,1,0,0,1,w/d in unit,off-street parking,40.5166,-83.8719,OH
334652,7031425154,Kennewick-Pasco-Richland,1368,apartment,1225,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,46.2724,-119.22399999999999,WA
343425,7033649338,Madison,1625,apartment,1460,2,1.0,0,0,1,0,0,0,laundry on site,detached garage,43.0722,-89.4199,WI
50060,7035154085,Orlando,1599,apartment,647,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage,28.5702,-81.3265,FL
27625,7048552264,Hartford,1965,apartment,913,1,1.0,1,1,1,0,0,0,w/d in unit,Unknown,41.7662,-72.6738,CT
3122,7048753079,Sacramento,1729,apartment,1233,2,2.0,0,0,1,0,0,0,Unknown,Unknown,38.5673,-121.552,CA
23674,7043980392,Fort Collins / North Co,1295,apartment,790,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,40.5776,-105.116,CO
223075,7045800005,Akron / Canton,940,apartment,1250,3,2.0,1,1,1,0,0,0,Unknown,Unknown,41.1377,-81.5539,OH
41801,7023817837,Gainesville,493,apartment,1311,3,3.0,0,0,1,0,0,0,Unknown,Unknown,29.6954,-82.4023,FL
369011,7036550482,Chico,905,apartment,550,1,1.0,0,0,0,0,0,0,laundry on site,off-street parking,39.7652,-121.859,CA
331426,7039390449,Roanoke,899,apartment,1021,2,1.5,0,0,1,0,0,0,Unknown,Unknown,37.2867,-79.9957,VA
169753,7032434075,Jackson,1200,apartment,2246,3,2.0,1,1,1,1,0,1,laundry in bldg,attached garage,32.3886,-89.9584,MS
150480,7044533283,Grand Rapids,1724,apartment,1294,2,2.0,1,1,0,0,0,0,w/d hookups,attached garage,42.928000000000004,-85.5483,MI
264236,7048930748,Columbia,1442,apartment,1075,2,1.0,1,1,0,0,0,0,w/d in unit,Unknown,34.0004,-81.0334,SC
168942,7042060393,Jackson,840,apartment,1248,3,2.0,0,0,1,0,0,0,w/d hookups,off-street parking,32.3932,-90.1629,MS
190685,7014188794,Wilmington,1100,apartment,751,1,1.0,1,1,1,0,0,0,Unknown,Unknown,34.1572,-77.9141,NC
241343,7048042773,Bend,1535,apartment,1078,2,2.0,1,0,0,0,0,0,w/d in unit,carport,44.0387,-121.337,OR
240234,7044765576,Tulsa,740,apartment,725,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,36.2863,-95.8222,OK
106270,7034267981,Des Moines,1365,house,1600,3,2.0,0,0,1,0,0,0,w/d in unit,off-street parking,41.5444,-93.6192,IA
297052,7041501991,Dallas / Fort Worth,2700,house,2913,3,2.0,0,0,1,0,0,0,w/d hookups,attached garage,32.9315,-96.7255,TX
310494,7043352291,San Marcos,1695,apartment,1273,3,2.0,1,1,1,0,0,0,w/d in unit,Unknown,29.8754,-97.9404,TX
162932,7049072754,Charlotte,1479,apartment,852,1,1.0,1,1,0,0,0,0,w/d in unit,attached garage,35.229,-80.8419,NC
183887,7039401917,Greensboro,819,apartment,811,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,36.051,-79.8647,NC
160842,7050768397,Minneapolis / St Paul,1359,apartment,750,1,1.0,0,1,0,1,0,0,laundry in bldg,attached garage,44.9512,-93.0902,MN
95958,7048635306,"St Louis, Mo",985,apartment,841,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,38.8008,-90.6587,IL
284531,7048502189,Abilene,799,apartment,912,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,32.4001,-99.7691,TX
314890,7035416474,Wichita Falls,675,apartment,650,1,1.0,1,1,0,0,0,0,laundry on site,off-street parking,33.9519,-98.5145,TX
326621,7045735561,Norfolk / Hampton Roads,1166,apartment,900,1,1.0,0,0,1,0,0,0,Unknown,Unknown,36.8376,-76.1201,VA
106844,7049207106,Iowa City,795,condo,374,0,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,41.6764,-91.5673,IA
195730,7020091519,Lincoln,825,apartment,763,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,40.7423,-96.6008,NE
223620,7035988837,Akron / Canton,759,manufactured,1088,3,2.0,1,1,1,0,0,0,w/d hookups,Unknown,41.2941,-80.9658,OH
308089,7050838543,San Antonio,798,apartment,678,1,0.0,1,1,1,0,0,0,laundry on site,Unknown,29.3309,-98.5054,TX
337699,7051029666,Seattle-Tacoma,1470,apartment,425,0,1.0,1,1,0,0,0,0,w/d in unit,carport,47.7157,-122.17200000000001,WA
215371,7040011365,Rochester,1097,apartment,730,1,1.0,0,0,1,0,0,0,Unknown,Unknown,43.0558,-77.6651,NY
41196,7015652899,Gainesville,1650,apartment,1220,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,29.6042,-82.4243,FL
173007,7020623942,Springfield,725,apartment,1200,2,2.0,1,1,0,0,0,0,w/d hookups,Unknown,37.1589,-93.3616,MO
220051,7049144168,Cincinnati,970,townhouse,1120,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,39.3385,-84.5371,OH
41377,7030681230,Gainesville,870,apartment,580,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,29.6503,-82.3569,FL
255736,7046725058,Pittsburgh,1075,apartment,640,1,1.0,1,1,0,1,0,0,laundry in bldg,off-street parking,40.3323,-80.081,PA
30429,7042382058,"Washington, Dc",1400,apartment,768,1,1.0,1,1,1,1,0,0,Unknown,Unknown,39.1419,-77.189,DC
351261,7032725013,Huntsville / Decatur,700,house,1160,3,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,34.7389,-86.6249,AL
348017,7046418484,Birmingham,965,apartment,1350,2,2.0,1,1,1,0,0,0,laundry on site,street parking,33.4226,-86.7065,AL
241737,7042559708,Corvallis/Albany,1400,duplex,1051,3,1.0,1,1,0,0,0,0,w/d hookups,attached garage,44.626000000000005,-123.057,OR
188560,7048599732,Raleigh / Durham / Ch,1125,apartment,710,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,35.8663,-78.6397,NC
319369,7048478334,Salt Lake City,1475,house,1704,3,1.0,0,0,0,0,0,0,w/d hookups,carport,40.66,-111.97200000000001,UT
214805,7045243676,Rochester,960,townhouse,928,2,1.5,1,1,1,0,0,0,laundry on site,off-street parking,43.211999999999996,-77.9582,NY
342546,7038337940,Madison,1375,apartment,750,1,1.0,1,1,0,0,0,0,laundry in bldg,street parking,43.0769,-89.3814,WI
254374,7046475589,Philadelphia,1100,townhouse,1150,3,1.5,1,1,1,0,0,0,Unknown,Unknown,39.9772,-75.2545,PA
33980,7035977802,Delaware,970,apartment,675,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,39.1332,-75.5306,DE
151662,7040253461,Grand Rapids,880,apartment,858,2,1.0,1,1,1,0,0,0,laundry on site,carport,43.0427,-85.6019,MI
36216,7040670053,Daytona Beach,1050,apartment,1028,2,1.5,1,1,1,0,0,0,laundry on site,Unknown,28.6196,-81.3122,FL
242247,7038063665,Corvallis/Albany,1250,apartment,952,2,2.0,1,1,0,0,0,0,w/d in unit,carport,44.5316,-122.882,OR
260794,7042965761,Rhode Island,1700,apartment,780,2,1.0,1,1,1,0,0,0,w/d in unit,street parking,41.5227,-71.3003,RI
269375,7027097526,Hilton Head,926,apartment,960,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,32.4316,-80.6698,SC
