id,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state
7049250057,Monroe,1030,apartment,945,2,0,1,1,1,0,0,0,w/d hookups,off-street parking,42.0775,-83.6901,MI
7048932571,Baltimore,1444,apartment,1000,2,2,1,1,1,0,0,0,Unknown,Unknown,39.3683,-76.4588,MD
7041750247,Philadelphia,1300,apartment,1100,3,1.5,1,0,1,0,0,0,Unknown,Unknown,39.9984,-75.0988,PA
7040187897,Evansville,582,apartment,741,1,1,1,1,1,0,0,0,laundry on site,Unknown,37.9582,-87.487,IN
7049947181,Tucson,1015,apartment,815,2,2,1,1,0,1,0,1,w/d in unit,carport,32.2214,-111.026,AZ
7037034163,Annapolis,1497,apartment,1055,2,2,1,1,1,0,0,0,Unknown,Unknown,38.953,-76.4784,MD
7039671112,Montgomery,735,apartment,1050,2,2,1,1,0,0,0,0,w/d in unit,Unknown,32.3735,-86.2052,AL
7010731451,Harrisonburg,490,townhouse,1500,1,2,1,1,1,0,0,1,w/d in unit,off-street parking,38.4199,-78.8763,VA
7041981088,Augusta,905,apartment,960,2,1,0,0,1,0,0,0,w/d hookups,off-street parking,33.3601,-82.0423,GA
7033044311,Salt Lake City,1142,apartment,817,1,1,0,0,1,0,0,0,Unknown,Unknown,40.5541,-111.954,UT
7037238155,Northwest Ga,918,apartment,960,2,1,1,1,1,0,0,0,Unknown,Unknown,33.5807,-84.3253,GA
7050793091,Wichita,678,apartment,865,2,1,1,1,0,0,0,0,laundry in bldg,off-street parking,37.7038,-97.2253,KS
7035721847,Lancaster,1260,townhouse,1285,3,2,1,1,1,0,0,0,w/d in unit,off-street parking,40.0067,-76.3376,PA
7037182842,Pittsburgh,1195,apartment,860,2,1,0,0,1,0,0,0,Unknown,Unknown,40.3323,-80.081,PA
7029430132,Central Nj,1200,house,700,2,1,0,0,1,0,0,0,laundry in bldg,off-street parking,40.4637,-74.3615,NJ
